PSTAR: Stopping Powers and Range Tables for Protons

ALUMINUM                                                                

Kinetic   Electron. Nuclear   Total     
Energy    Stp. Pow. Stp. Pow. Stp. Pow. 
MeV       MeV cm2/g MeV cm2/g MeV cm2/g 

1.000E-03 9.238E+01 1.197E+01 1.043E+02 
1.500E-03 1.131E+02 1.072E+01 1.239E+02 
2.000E-03 1.306E+02 9.749E+00 1.404E+02 
2.500E-03 1.461E+02 8.967E+00 1.550E+02 
3.000E-03 1.600E+02 8.324E+00 1.683E+02 
4.000E-03 1.848E+02 7.322E+00 1.921E+02 
5.000E-03 2.066E+02 6.571E+00 2.131E+02 
6.000E-03 2.263E+02 5.982E+00 2.323E+02 
7.000E-03 2.444E+02 5.505E+00 2.499E+02 
8.000E-03 2.613E+02 5.110E+00 2.664E+02 
9.000E-03 2.771E+02 4.775E+00 2.819E+02 
1.000E-02 2.921E+02 4.488E+00 2.966E+02 
1.250E-02 3.206E+02 3.917E+00 3.245E+02 
1.500E-02 3.448E+02 3.491E+00 3.483E+02 
1.750E-02 3.657E+02 3.157E+00 3.689E+02 
2.000E-02 3.838E+02 2.889E+00 3.867E+02 
2.250E-02 3.996E+02 2.667E+00 4.022E+02 
2.500E-02 4.132E+02 2.480E+00 4.157E+02 
2.750E-02 4.250E+02 2.321E+00 4.273E+02 
3.000E-02 4.351E+02 2.183E+00 4.373E+02 
3.500E-02 4.510E+02 1.955E+00 4.529E+02 
4.000E-02 4.620E+02 1.774E+00 4.638E+02 
4.500E-02 4.692E+02 1.627E+00 4.709E+02 
5.000E-02 4.734E+02 1.504E+00 4.749E+02 
5.500E-02 4.752E+02 1.401E+00 4.766E+02 
6.000E-02 4.751E+02 1.311E+00 4.764E+02 
6.500E-02 4.737E+02 1.234E+00 4.749E+02 
7.000E-02 4.712E+02 1.166E+00 4.724E+02 
7.500E-02 4.680E+02 1.106E+00 4.691E+02 
8.000E-02 4.642E+02 1.052E+00 4.653E+02 
8.500E-02 4.601E+02 1.003E+00 4.611E+02 
9.000E-02 4.558E+02 9.597E-01 4.567E+02 
9.500E-02 4.513E+02 9.200E-01 4.522E+02 
1.000E-01 4.468E+02 8.837E-01 4.477E+02 
1.250E-01 4.245E+02 7.406E-01 4.253E+02 
1.500E-01 4.045E+02 6.400E-01 4.051E+02 
1.750E-01 3.867E+02 5.651E-01 3.873E+02 
2.000E-01 3.710E+02 5.070E-01 3.715E+02 
2.250E-01 3.568E+02 4.604E-01 3.573E+02 
2.500E-01 3.440E+02 4.222E-01 3.444E+02 
2.750E-01 3.323E+02 3.903E-01 3.327E+02 
